q1;q2;psi 1;psi2;u1;u2;tau
0;0;0;1;0.905791937;0.355073652;0
0;0.2;0;1;0.780609686;1;0.102020134
0;0.4;0;1;0.477080805;1;0.104081077
0;0.6;0;1;0.041391226;1;0.106183654
0;0.8;0;1;0.356193811;1;0.108328706
0;1;0;1;0.561925664;1;0.110517091
0;1.2;0;1;0;0.964110758;0.150647399
0;1.4;0;1;0.038973089;0.833912353;0.153528706
0;1.6;0;1;0.054332395;0.736329172;0.156463479
0;1.8;0;1;0.21512398;0.660489488;0.159452677
0;2;0;1;0;0.599870254;0.162497276
0;2.2;0;1;0.305978274;0.550320433;0.16559827
0;2.4;0;1;0.237639605;0.509072657;0.16875667
0;2.6;0;1;0.296504184;0.474211051;0.171973504
0;2.8;0;1;0.128630781;0.444367125;0.17524982
0;3;0;1;0.699476704;0.418537313;0.178586682
0.2;0;0;1;1;0.918031802;0.102020134
0.2;0.2;0;1;1;1;0.102020134
0.2;0.4;0;1;1;1;0.104081077
0.2;0.6;0;1;1;1;0.106183654
0.2;0.8;0;1;1;1;0.108328706
0.2;1;0;1;1;1;0.110517091
0.2;1.2;0;1;1;0.964110758;0.150647399
0.2;1.4;0;1;1;0.833912353;0.153528706
0.2;1.6;0;1;1;0.736329172;0.156463479
0.2;1.8;0;1;1;0.660489488;0.159452677
0.2;2;0;1;1;0.599870254;0.162497276
0.2;2.2;0;1;1;0.550320433;0.16559827
0.2;2.4;0;1;1;0.509072657;0.16875667
0.2;2.6;0;1;1;0.474211051;0.171973504
0.2;2.8;0;1;1;0.444367125;0.17524982
0.2;3;0;1;1;0.418537313;0.178586682
0.4;0;0;1;1;0.001166286;0.104081077
0.4;0.2;0;1;1;1;0.104081077
0.4;0.4;0;1;1;1;0.104081077
0.4;0.6;0;1;1;1;0.106183654
0.4;0.8;0;1;1;1;0.108328706
0.4;1;0;1;1;1;0.110517091
0.4;1.2;0;1;1;0.964110758;0.150647399
0.4;1.4;0;1;1;0.833912353;0.153528706
0.4;1.6;0;1;1;0.736329172;0.156463479
0.4;1.8;0;1;1;0.660489488;0.159452677
0.4;2;0;1;1;0.599870254;0.162497276
0.4;2.2;0;1;1;0.550320433;0.16559827
0.4;2.4;0;1;1;0.509072657;0.16875667
0.4;2.6;0;1;1;0.474211051;0.171973504
0.4;2.8;0;1;1;0.444367125;0.17524982
0.4;3;0;1;1;0.418537313;0.178586682
0.6;0;0;1;1;0.307703707;0.106183654
0.6;0.2;0;1;1;1;0.106183654
0.6;0.4;0;1;1;1;0.106183654
0.6;0.6;0;1;1;1;0.106183654
0.6;0.8;0;1;1;1;0.108328706
0.6;1;0;1;1;1;0.110517091
0.6;1.2;0;1;1;0.964110758;0.150647399
0.6;1.4;0;1;1;0.833912353;0.153528706
0.6;1.6;0;1;1;0.736329172;0.156463479
0.6;1.8;0;1;1;0.660489488;0.159452677
0.6;2;0;1;1;0.599870254;0.162497276
0.6;2.2;0;1;1;0.550320433;0.16559827
0.6;2.4;0;1;1;0.509072657;0.16875667
0.6;2.6;0;1;1;0.474211051;0.171973504
0.6;2.8;0;1;1;0.444367125;0.17524982
0.6;3;0;1;1;0.418537313;0.178586682
0.8;0;0;1;1;0.810294791;0.108328706
0.8;0.2;0;1;1;1;0.108328706
0.8;0.4;0;1;1;1;0.108328706
0.8;0.6;0;1;1;1;0.108328706
0.8;0.8;0;1;1;1;0.108328706
0.8;1;0;1;1;1;0.110517091
0.8;1.2;0;1;1;0.964110758;0.150647399
0.8;1.4;0;1;1;0.833912353;0.153528706
0.8;1.6;0;1;1;0.736329172;0.156463479
0.8;1.8;0;1;1;0.660489488;0.159452677
0.8;2;0;1;1;0.599870254;0.162497276
0.8;2.2;0;1;1;0.550320433;0.16559827
0.8;2.4;0;1;1;0.509072657;0.16875667
0.8;2.6;0;1;1;0.474211051;0.171973504
0.8;2.8;0;1;1;0.444367125;0.17524982
0.8;3;0;1;1;0.418537313;0.178586682
1;0;0;1;1;0.75147492;0.110517091
1;0.2;0;1;1;1;0.110517091
1;0.4;0;1;1;1;0.110517091
1;0.6;0;1;1;1;0.110517091
1;0.8;0;1;1;1;0.110517091
1;1;0;1;1;1;0.110517091
1;1.2;0;1;1;0.964110758;0.150647399
1;1.4;0;1;1;0.833912353;0.153528706
1;1.6;0;1;1;0.736329172;0.156463479
1;1.8;0;1;1;0.660489488;0.159452677
1;2;0;1;1;0.599870254;0.162497276
1;2.2;0;1;1;0.550320433;0.16559827
1;2.4;0;1;1;0.509072657;0.16875667
1;2.6;0;1;1;0.474211051;0.171973504
1;2.8;0;1;1;0.444367125;0.17524982
1;3;0;1;1;0.418537313;0.178586682
1.2;0;0;1;0.964110757;0.3510245;0.150647399
1.2;0.2;0;1;0.964110757;1;0.150647399
1.2;0.4;0;1;0.964110757;1;0.150647399
1.2;0.6;0;1;0.964110757;1;0.150647399
1.2;0.8;0;1;0.964110757;1;0.150647399
1.2;1;0;1;0.964110757;1;0.150647399
1.2;1.2;0.4;0.6;0.965899884;0.965900624;0.151232627
1.2;1.4;0.3;0.7;0.974257037;0.83508234;0.15397849
1.2;1.6;0.7;0.3;0.982698494;0.737023872;0.156771237
1.2;1.8;0.3;0.7;0.991209353;0.660806235;0.159611869
1.2;2;0.5;0.5;0.999793691;0.599877006;0.16250108
1.2;2.2;0.4;0.6;1;0.550319966;0.165598287
1.2;2.4;0.2;0.8;1;0.509072273;0.168756685
1.2;2.6;0;1;1;0.474210564;0.171973526
1.2;2.8;0.1;0.9;1;0.444367025;0.175249824
1.2;3;0;1;1;0.418536626;0.178586719
1.4;0;0;1;0.833912352;0.383665017;0.153528706
1.4;0.2;0;1;0.833912352;1;0.153528706
1.4;0.4;0;1;0.833912352;1;0.153528706
1.4;0.6;0;1;0.833912352;1;0.153528706
1.4;0.8;0;1;0.833912352;1;0.153528706
1.4;1;0;1;0.833912352;1;0.153528706
1.4;1.2;0.7;0.3;0.836238818;0.97419058;0.154423637
1.4;1.4;0.5;0.5;0.842295479;0.842627852;0.156893361
1.4;1.6;0.7;0.3;0.849607446;0.743407041;0.159611881
1.4;1.8;0.5;0.5;0.856967069;0.666529964;0.162501057
1.4;2;0.4;0.6;0.864389691;0.605078439;0.165442616
1.4;2.2;0.1;0.9;0.871881729;0.55483067;0.168430117
1.4;2.4;0.2;0.8;0.879426939;0.513006486;0.17147268
1.4;2.6;0.8;0.2;0.887041586;0.477640482;0.174561069
1.4;2.8;0.8;0.2;0.894719198;0.44736283;0.177705545
1.4;3;0.1;0.9;0.902460493;0.421148817;0.180900844
